"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_valid_login[firefox]","testCases","Sat Aug 31 23:37:22 WEST 2024","broken","Sat Aug 31 23:37:22 WEST 2024","Test_Login","test_login","",""
"","2849","test_valid_login[edge]","testCases","Sat Aug 31 23:37:43 WEST 2024","passed","Sat Aug 31 23:37:46 WEST 2024","Test_Login","test_login","",""
"","20249","test_log_DDT[edge]","testCases","Sat Aug 31 23:39:04 WEST 2024","passed","Sat Aug 31 23:39:24 WEST 2024","Test_Login_DDT","test_login_DDT","",""
"","0","test_addcandidate[firefox]","testCases","Sat Aug 31 23:36:38 WEST 2024","broken","Sat Aug 31 23:36:38 WEST 2024","Test_Add_Candidate","test_add_candidate","",""
"","0","test_log_DDT[firefox]","testCases","Sat Aug 31 23:38:54 WEST 2024","broken","Sat Aug 31 23:38:54 WEST 2024","Test_Login_DDT","test_login_DDT","",""
"","12929","test_addcandidate[edge]","testCases","Sat Aug 31 23:36:49 WEST 2024","passed","Sat Aug 31 23:37:02 WEST 2024","Test_Add_Candidate","test_add_candidate","",""
"","19411","test_log_DDT[chrome]","testCases","Sat Aug 31 23:38:28 WEST 2024","passed","Sat Aug 31 23:38:47 WEST 2024","Test_Login_DDT","test_login_DDT","",""
"","1595","test_valid_login[chrome]","testCases","Sat Aug 31 23:37:14 WEST 2024","passed","Sat Aug 31 23:37:15 WEST 2024","Test_Login","test_login","",""
"","1214","test_invalid_login[edge]","testCases","Sat Aug 31 23:38:16 WEST 2024","passed","Sat Aug 31 23:38:17 WEST 2024","Test_Login","test_login","",""
"","0","test_invalid_login[firefox]","testCases","Sat Aug 31 23:38:06 WEST 2024","broken","Sat Aug 31 23:38:06 WEST 2024","Test_Login","test_login","",""
"","12128","test_addcandidate[chrome]","testCases","Sat Aug 31 23:36:23 WEST 2024","broken","Sat Aug 31 23:36:35 WEST 2024","Test_Add_Candidate","test_add_candidate","",""
"","1307","test_invalid_login[chrome]","testCases","Sat Aug 31 23:37:58 WEST 2024","passed","Sat Aug 31 23:37:59 WEST 2024","Test_Login","test_login","",""
